,RT,SI,DI,SP,DP,duration
94,20.487242783,192.168.56.102,192.168.56.104,1586,80,0.020364742000001712
95,20.499829162,192.168.56.102,192.168.56.104,1587,80,0.01156881999999726
96,20.508430121,192.168.56.102,192.168.56.104,1588,80,0.019207514000001424
97,20.512297196,192.168.56.102,192.168.56.104,1589,80,0.019661452000001134
98,20.51574913,192.168.56.102,192.168.56.104,1590,80,0.016628276999998803
99,20.518488291,192.168.56.102,192.168.56.104,1591,80,0.014504389999999034
100,20.531809442,192.168.56.102,192.168.56.104,1592,80,0.004092592999999312
101,20.535780611,192.168.56.102,192.168.56.104,1593,80,0.0010519219999984841
102,20.538737487,192.168.56.102,192.168.56.104,1594,80,0.0018318400000012502
103,20.541950352,192.168.56.102,192.168.56.104,1595,80,0.001529735999998394
104,20.544742413,192.168.56.102,192.168.56.104,1596,80,0.0015095949999981428
105,20.547279546,192.168.56.102,192.168.56.104,1597,80,0.003424395999999774
106,20.565496126,192.168.56.102,192.168.56.104,1598,80,0.012969584000000367
107,20.566649814,192.168.56.102,192.168.56.104,1599,80,0.012580605000000133
108,20.590775523,192.168.56.102,192.168.56.104,1600,80,0.011921895999996934
109,20.595087841,192.168.56.102,192.168.56.104,1601,80,0.008447138999997605
110,20.61380738,192.168.56.102,192.168.56.104,1602,80,0.013139587999997815
111,20.632570821,192.168.56.102,192.168.56.104,1603,80,0.006200361999997739
112,20.63604492,192.168.56.102,192.168.56.104,1604,80,0.003510070000000809
113,20.657984662,192.168.56.102,192.168.56.104,1605,80,0.00867637099999996
114,20.664106563,192.168.56.102,192.168.56.104,1606,80,0.0025572559999993416
115,20.667735964,192.168.56.102,192.168.56.104,1607,80,0.009023977000001793
116,20.678119091,192.168.56.102,192.168.56.104,1608,80,0.0218289320000018
117,20.691473696,192.168.56.102,192.168.56.104,1609,80,0.014458835999999309
118,20.694398047,192.168.56.102,192.168.56.104,1610,80,0.02151178100000095
119,20.702683389,192.168.56.102,192.168.56.104,1611,80,0.01665458300000111
120,20.711744394,192.168.56.102,192.168.56.104,1612,80,0.019896488000000545
121,20.715075223,192.168.56.102,192.168.56.104,1613,80,0.01731656500000156
122,20.727144909,192.168.56.102,192.168.56.104,1614,80,0.008035779000000076
123,20.73019548,192.168.56.102,192.168.56.104,1615,80,0.01781835599999937
124,20.734778344,192.168.56.102,192.168.56.104,1616,80,0.013242199000000454
125,20.73936442,192.168.56.102,192.168.56.104,1617,80,0.008657246999998591
126,20.742247059,192.168.56.102,192.168.56.104,1618,80,0.00577532399999825
127,20.747413755,192.168.56.102,192.168.56.104,1619,80,0.033554221999999356
128,20.755605617,192.168.56.102,192.168.56.104,1620,80,0.025370543000001078
129,20.759767948,192.168.56.102,192.168.56.104,1621,80,0.021208839999999896
130,20.762970865,192.168.56.102,192.168.56.104,1622,80,0.01800754900000001
131,20.773877612,192.168.56.102,192.168.56.104,1623,80,0.019136436000000145
132,20.782643378,192.168.56.102,192.168.56.104,1624,80,0.010379348000000732
133,20.787854917,192.168.56.102,192.168.56.104,1625,80,0.018575716000000853
134,20.794174454,192.168.56.102,192.168.56.104,1626,80,0.01337510699999811
135,20.797797353,192.168.56.102,192.168.56.104,1627,80,0.013740209000001613
136,20.810726757,192.168.56.102,192.168.56.104,1628,80,0.0168423039999972
137,20.824109592,192.168.56.102,192.168.56.104,1629,80,0.003462168000002208
138,20.826918679,192.168.56.102,192.168.56.104,1630,80,0.0116959680000015
139,20.831702055,192.168.56.102,192.168.56.104,1631,80,0.00843922099999972
140,20.835267582,192.168.56.102,192.168.56.104,1632,80,0.005577740999999747
141,20.839432999,192.168.56.102,192.168.56.104,1633,80,0.01591573600000018
142,20.843965041,192.168.56.102,192.168.56.104,1634,80,0.013905313999998725
143,20.851728257,192.168.56.102,192.168.56.104,1635,80,0.007081626999998036
144,20.863786179,192.168.56.102,192.168.56.104,1636,80,0.01146268199999767
145,20.866303125,192.168.56.102,192.168.56.104,1637,80,0.009562468999998686
146,20.870634485,192.168.56.102,192.168.56.104,1638,80,0.007643204000000736
147,20.880133692,192.168.56.102,192.168.56.104,1639,80,0.006943546999998773
148,20.882464952,192.168.56.102,192.168.56.104,1640,80,0.017348429000001886
149,20.887768839,192.168.56.102,192.168.56.104,1641,80,0.027698566000001534
150,20.903271498,192.168.56.102,192.168.56.104,1642,80,0.01610186499999955
151,20.91042521,192.168.56.102,192.168.56.104,1643,80,0.00958933800000139
152,20.918048048,192.168.56.102,192.168.56.104,1644,80,0.010241067999999132
153,20.918714638,192.168.56.102,192.168.56.104,1645,80,0.010189372999999335
154,20.923919711,192.168.56.102,192.168.56.104,1646,80,0.006674751999998563
155,20.926222573,192.168.56.102,192.168.56.104,1647,80,0.013489679999999282
156,20.931993593,192.168.56.102,192.168.56.104,1648,80,0.0077239239999968845
157,20.939164346,192.168.56.102,192.168.56.104,1649,80,0.010387869000002325
158,20.9421706,192.168.56.102,192.168.56.104,1650,80,0.0075118070000002035
159,20.947359732,192.168.56.102,192.168.56.104,1651,80,0.0024567310000023213
160,20.957224378,192.168.56.102,192.168.56.104,1652,80,0.010638271000001254
161,20.962124246,192.168.56.102,192.168.56.104,1653,80,0.005749898000001252
162,20.970839803,192.168.56.102,192.168.56.104,1654,80,0.003756784000000124
163,20.975539803,192.168.56.102,192.168.56.104,1655,80,0.014281841999999045
164,20.980076211,192.168.56.102,192.168.56.104,1656,80,0.009751350999998465
165,20.982881026,192.168.56.102,192.168.56.104,1657,80,0.006947436999997336
166,20.987900587,192.168.56.102,192.168.56.104,1658,80,0.01061096100000114
167,20.99318733,192.168.56.102,192.168.56.104,1659,80,0.005329177000000129
168,20.995840938,192.168.56.102,192.168.56.104,1660,80,0.011889914000001056
169,20.999532591,192.168.56.102,192.168.56.104,1661,80,0.008206644999997792
170,21.003817385,192.168.56.102,192.168.56.104,1662,80,0.003922950999999841
171,21.010702163,192.168.56.102,192.168.56.104,1663,80,0.004392300999999321
172,21.013450843,192.168.56.102,192.168.56.104,1664,80,0.011788964999997376
173,21.02786268,192.168.56.102,192.168.56.104,1665,80,0.007058296000000297
174,21.035539091,192.168.56.102,192.168.56.104,1666,80,0.001445441000001324
175,21.037688193,192.168.56.102,192.168.56.104,1667,80,0.0009378199999972026
176,21.040398927,192.168.56.102,192.168.56.104,1668,80,0.0008349420000008934
177,21.042604427,192.168.56.102,192.168.56.104,1669,80,0.0016680899999990118
178,21.045297278,192.168.56.102,192.168.56.104,1670,80,0.0010974949999997818
179,21.047981456,192.168.56.102,192.168.56.104,1671,80,0.001106859000000071
180,21.050168846,192.168.56.102,192.168.56.104,1672,80,0.0007216720000009502
181,21.054672857,192.168.56.102,192.168.56.104,1673,80,0.006062714999998775
182,21.056175961,192.168.56.102,192.168.56.104,1674,80,0.010464613999999983
183,21.06222359,192.168.56.102,192.168.56.104,1675,80,0.005425890000001488
184,21.071240933,192.168.56.102,192.168.56.104,1676,80,0.014315492000001484
185,21.079302948,192.168.56.102,192.168.56.104,1677,80,0.007330764000002432
186,21.094321905,192.168.56.102,192.168.56.104,1678,80,0.0072394960000004005
187,21.096163116,192.168.56.102,192.168.56.104,1679,80,0.010415451000000076
188,21.105598978,192.168.56.102,192.168.56.104,1680,80,0.01727618700000022
189,21.108119384,192.168.56.102,192.168.56.104,1681,80,0.015691255000000126
190,21.114454125,192.168.56.102,192.168.56.104,1682,80,0.0172884319999973
191,21.130902951,192.168.56.102,192.168.56.104,1683,80,0.01212415500000219
192,21.130909878,192.168.56.102,192.168.56.104,1684,80,0.012768344999997794
193,21.136266562,192.168.56.102,192.168.56.104,1685,80,0.008279808000001054
194,21.138858398,192.168.56.102,192.168.56.104,1686,80,0.008273874000000347
195,21.155516217,192.168.56.102,192.168.56.104,1687,80,0.0021684600000000387
196,21.158585942,192.168.56.102,192.168.56.104,1688,80,0.008774720000001679
197,21.163644959,192.168.56.102,192.168.56.104,1689,80,0.0037215740000000608
198,21.166677708,192.168.56.102,192.168.56.104,1690,80,0.009066507000000001
199,21.170611707,192.168.56.102,192.168.56.104,1691,80,0.005205809999999644
200,21.175744574,192.168.56.102,192.168.56.104,1692,80,0.00923459000000193
201,21.180129048,192.168.56.102,192.168.56.104,1693,80,0.005357117999999161
202,21.183664802,192.168.56.102,192.168.56.104,1694,80,0.008792389999999983
203,21.187175037,192.168.56.102,192.168.56.104,1695,80,0.005849395000002033
204,21.191974074,192.168.56.102,192.168.56.104,1696,80,0.002684764999997924
205,21.194454617,192.168.56.102,192.168.56.104,1697,80,0.0011526109999984158
206,21.196776788,192.168.56.102,192.168.56.104,1698,80,0.00031003799999851367
207,21.198969451,192.168.56.102,192.168.56.104,1699,80,0.001662727999999447
208,21.201543496,192.168.56.102,192.168.56.104,1700,80,0.0013813850000019556
209,21.204112009,192.168.56.102,192.168.56.104,1701,80,0.0010297570000012968
210,21.206495218,192.168.56.102,192.168.56.104,1702,80,0.0011192730000004758
211,21.209335016,192.168.56.102,192.168.56.104,1703,80,0.0016022549999981095
212,21.211948008,192.168.56.102,192.168.56.104,1704,80,0.0003301990000004196
213,21.214689017,192.168.56.102,192.168.56.104,1705,80,0.0012902309999986983
214,21.217846015,192.168.56.102,192.168.56.104,1706,80,0.0016631090000025495
215,21.224316574,192.168.56.102,192.168.56.104,1707,80,0.02096809500000063
216,21.228174946,192.168.56.102,192.168.56.104,1708,80,0.017114887000001744
217,21.235835581,192.168.56.102,192.168.56.104,1709,80,0.009454841000000158
218,21.239938357,192.168.56.102,192.168.56.104,1710,80,0.027329131000001894
219,21.247474347,192.168.56.102,192.168.56.104,1711,80,0.01979830499999835
220,21.251812363,192.168.56.102,192.168.56.104,1712,80,0.015460982000000456
221,21.256294765,192.168.56.102,192.168.56.104,1713,80,0.010979420000001738
222,21.260068274,192.168.56.102,192.168.56.104,1714,80,0.00720650599999928
223,21.26366853,192.168.56.102,192.168.56.104,1715,80,0.027589971000001157
224,21.272468586,192.168.56.102,192.168.56.104,1716,80,0.02151179500000211
225,21.276264918,192.168.56.102,192.168.56.104,1717,80,0.018489321000000558
226,21.279811546,192.168.56.102,192.168.56.104,1718,80,0.015727771999998197
227,21.283117821,192.168.56.102,192.168.56.104,1719,80,0.012972271999998952
228,21.289389869,192.168.56.102,192.168.56.104,1720,80,0.010090637999997654
229,21.29875371,192.168.56.102,192.168.56.104,1721,80,0.013135777999998766
230,21.306777431,192.168.56.102,192.168.56.104,1722,80,0.012891336999999226
231,21.312992471,192.168.56.102,192.168.56.104,1723,80,0.025176729999998315
232,21.316382883,192.168.56.102,192.168.56.104,1724,80,0.02179145200000221
233,21.32791328,192.168.56.102,192.168.56.104,1725,80,0.010261851999999294
